lower,upper,valid,tag,metric,n
0.9912712749376559,1.0,True,CD,precision,779
0.9038663255766215,0.9448803046030245,True,VBG,precision,635
0.9532704818829657,0.9690393357279657,True,JJAT,precision,2234
0.9830963684874466,0.9875117369289029,True,NN,precision,11792
0.986426102399883,0.9913018579625412,True,IN,precision,6563
0.9897949557181362,0.9972617743702081,True,CC,precision,1834
0.9749975868725869,0.994604800030943,True,DEMO,precision,567
0.9262935900367704,0.9473157500788516,True,VB,precision,1865
0.9991329040341899,1.0,True,DT,precision,3540
0.988998310868875,0.9952284362834144,True,VPRT,precision,2895
,,False,XX0,,618
0.8637040213455308,0.9040955496800568,True,JJPR,precision,948
0.98989898989899,1.0,True,TIME,precision,321
0.9790780349357755,0.9977015430640843,True,PEAS,precision,494
0.9435559621003196,0.9749582637729549,True,WHSC,precision,591
0.92193908823905,0.9799020100502512,True,THSC,precision,213
,,False,PIT,,781
0.916917704126244,0.9482591353576942,True,RB,precision,1049
0.9130375547920861,0.9602112288679452,True,PASS,precision,358
0.791174120460249,0.8638731665836168,True,VBN,precision,379
,,False,MDWO,,137
0.9489760322733746,0.990990990990991,True,FREQ,precision,218
0.9230698529411765,0.9734898325358852,True,DMA,precision,286
0.9752291384304358,0.9927036139776827,True,QUAN,precision,661
0.9619460702341138,1.0,True,POS,precision,184
0.9833333333333333,1.0,True,QUPR,precision,206
0.9572649572649573,0.9954761276707993,True,PLACE,precision,240
0.8188393638751094,0.9291426912982031,True,VIMP,precision,215
,,False,MDCA,,168
,,False,AMP,,137
0.9918891151425397,1.0,True,PP1P,precision,403
0.9444444444444444,0.9851342116772359,True,PROG,precision,287
0.9387710347296814,1.0,True,EX,precision,107
0.8216985049833887,0.9307824427480916,True,THRC,precision,124
0.9559253440797787,0.9768198240174244,True,BEMA,precision,1317
0.9746160520045583,1.0,True,SPLIT,precision,223
0.8880377135014711,0.9225800286358903,True,NCOMP,precision,1007
0.9444403714565005,0.9813333333333333,True,BEAUX,precision,362
0.0,0.011450381679389313,True,NONE,precision,191
0.9173731884057972,0.9704641350210971,True,DOAUX,precision,246
,,False,PP1S,,1230
0.9846062992125985,0.9936313987789486,True,VBD,precision,1761
0.7908863636363637,0.9193798172994575,True,WHQU,precision,119
,,False,COND,,152
0.8107095864661654,0.8978121466022412,True,EMPH,precision,251
0.9314588200934579,0.976590579710145,True,RP,precision,321
0.9915905843605454,0.9990010239261736,True,CONT,precision,990
,,False,MDNE,,170
0.9791593309859155,1.0,True,MDWS,precision,154
0.9312977099236641,0.9925925925925926,True,SO,precision,126
0.9924899214282776,1.0,True,PP2,precision,679
0.7202215608465609,0.8388961498998387,True,THATD,precision,185
0.8386978178368122,0.971830985915493,True,ACT,precision,125
0.95,0.9941860465116279,True,YNQU,precision,161
0.9190471370734529,0.9764260132774283,True,FPUH,precision,233
0.989660700515443,0.9987700254766676,True,CD,recall,779
0.9531659522501668,0.9810239094200817,True,VBG,recall,635
0.9387145077402858,0.9572016075341152,True,JJAT,recall,2234
0.9862747097665898,0.9901863766569267,True,NN,recall,11792
0.9964114293729027,0.9987995557935404,True,IN,recall,6563
0.9835253821488972,0.9933003917752369,True,CC,recall,1834
0.9523724942907891,0.9800419691470055,True,DEMO,recall,567
0.9861473691276733,0.9950608458431934,True,VB,recall,1865
0.9991371561671233,1.0,True,DT,recall,3540
0.9700202457105344,0.9808570259293006,True,VPRT,recall,2895
0.9917063927852378,1.0,True,XX0,recall,618
0.887511007047622,0.9236439108627176,True,JJPR,recall,948
0.9475268031189084,0.9866677740863787,True,TIME,recall,321
0.8978791781854737,0.9432511969780302,True,PEAS,recall,494
0.9561647795943482,0.9820859646128464,True,WHSC,recall,591
0.9062463321596245,0.9702257394914374,True,THSC,recall,213
,,False,PIT,,781
0.8793931174254832,0.9139442811666644,True,RB,recall,1049
0.9587889801938475,0.989043329362716,True,PASS,recall,358
0.9126916868442292,0.9619373144334834,True,VBN,recall,379
,,False,MDWO,,137
0.9441795261899587,0.9901513702233488,True,FREQ,recall,218
0.9057952715561411,0.9619409974943324,True,DMA,recall,286
0.9816779865097085,0.9968654486677115,True,QUAN,recall,661
0.9726700480028982,1.0,True,POS,recall,184
0.9333333333333333,0.984375,True,QUPR,recall,206
0.9204815076204399,0.9777850877192982,True,PLACE,recall,240
0.5159462694507249,0.6487831978319784,True,VIMP,recall,215
,,False,MDCA,,168
,,False,AMP,,137
0.9921465968586387,1.0,True,PP1P,recall,403
0.8535001915617069,0.9264859068627451,True,PROG,recall,287
,,False,EX,,107
0.9582974137931035,1.0,True,THRC,recall,124
0.9131080991516437,0.9400372651028324,True,BEMA,recall,1317
0.876093491976119,0.9504504504504504,True,SPLIT,recall,223
0.9497039931899086,0.972590620613087,True,NCOMP,recall,1007
